,index,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other
0,13012,Subhan?Allah Kenangan yg Tidak akan Terlupakan Saat Umat Islam Bersatu Melaksakan Shalat Jum?at pd Aksi 212 4 bln terlewat pdhl sblmnya bnyk yg menjegal &amp; menggap Spele..&amp; tdk takut dg suara Umat Islam kita buktikan nnti Insha Allah..#2019GantiPres,1,0,1,0,0,0,0,0,1
1,5594,"Direksi Pertamina Dirombak, ESDM Mau Premium tak Lagi Langka",0,0,0,0,0,0,0,0,0
2,347,"3. Karena berbasis teknologi digital, Presiden juga minta sistem betul-betul jalan, dan langsung bisa digunakan dan ramah bagi pengguna. #ratas",0,0,0,0,0,0,0,0,0
3,4356,RT USER: USER USER USER kebanyakan alasan...\nsi banci bloon itu cuma TAKUT MALU... URL,1,1,1,0,0,0,0,1,0
4,10958,Ganyang PKI dg segala anteknya... URL,1,0,0,1,0,1,0,0,0
5,9310,"ANA WONG GEK MEMBAGI-BAGIKAN KATA-KATA MOTIVASI KOK MALAH DIKON ANTRAKSI, GENDENG! HINA! KAFIR! CEBONG! MBELEK LANCUNG SEKO MENTOK SING GEK ANGKREM! AAGHR! \n\nJOLODONG!'",1,1,0,1,0,0,0,0,1
6,10323,"survey 'dimanakah gereja katolik terdekat dari desa gw?' ini gw lakukan tdk lama setelah tahu gw ditempatin di desa mana, which is 2 bulan lalu. 2 bulan setelahnya, which is hari ini, 2 temen gue itu akhirnya presentasi kondisi desa yg mereka liat kmrn""",0,0,0,0,0,0,0,0,0
7,8569,RT USER: Ternyata gak cuma gw yg pulsanya raib. Gw emang ngerasa sih kok kayanya indosat emang boros banget dan pulsa juga sering tib\xe2\x80\xa6',0,0,0,0,0,0,0,0,0
8,4015,Koster Ingin Kembalikan Kejayaan Klungkung sebagai Pusat Seni Budaya Bali,0,0,0,0,0,0,0,0,0
9,11169,"KH Anis Maftukhin kemudian menjelaskan latar belakang berdirinya ponpes &amp; visinya.; ; Menurutnya, pondok yg berdiri baru 6 bulan lalu ini tidak dipungut biaya, pengajarnya pun jg tidak dibayar.; ; Ponpes ini, selain belajar Ilmu Islam, jg mengajarkan i",0,0,0,0,0,0,0,0,0
10,9325,PKS Sepakat untuk Setujui Pilkada Dikembalikan ke DPRD,0,0,0,0,0,0,0,0,0
11,5396,"Emang ada hukum kristen? Setau gw sih cuma ada 10 perintah Allah, dan gak ada hukuman bagi pelanggar dari pemuka agama yg berwenang...",0,0,0,0,0,0,0,0,0
12,3800,USER 11 GB raib dicuri oleh providernya sendiri USER kan kampret',1,1,0,1,0,0,0,0,1
13,2714,USER Ikutilah seruan ulama yang hanif ð???,0,0,0,0,0,0,0,0,0
14,6301,RT USER: mau masak eh malah di ajak ngentot sialan URL,0,1,0,0,0,0,0,0,0
15,10735,USER Ya ntar di rt di rw di lurah di camat di bupati sampai di gubernur sekalian ð???ð???,0,0,0,0,0,0,0,0,0
16,3675,"Bodo ah, males buat pacaran. Gue yg jomblo napa lu yg repot.'",0,1,0,0,0,0,0,0,0
17,8430,joss Nggih,0,0,0,0,0,0,0,0,0
18,11269,"USER Itu islam sontoloyo...anna. puasa bln syawal lebaranya bln suro perayaannya di tempat setan seperti laut selatan, gunung kawi.'",1,1,0,1,1,0,0,0,0
19,214,USER Kayaknya bisa? Atau cuma bank tertentu? Bilang aja mau jual uang asing/tukar ke rupiah',0,0,0,0,0,0,0,0,0
20,8611,USER Makanya gua lupa pas baca unm u baru ga asing',0,0,0,0,0,0,0,0,0
21,236,"""Ya, terserah lo aja."" Balasnya kembali fokus kepada kerjaan kita.; ; Kami mengerjakan tugas project Seni Budaya hanya dalam 2 hari, setelahnya langsung dikumpul dan dipresentasikan. Bersyukur nilainya memuaskan.; ; Setelah kejadian project itu kami makin",0,0,0,0,0,0,0,0,0
22,3444,\xe2\x80\x9cMbak gak ikut meeting?\xe2\x80\x9d\n\n\xe2\x80\x9cKatanya gapapa tadi\xe2\x80\x9d\n\nLha berarti tadi diajak meeting? Disuruh? Tapi si bloon diam aja kayak patung.\n\nMiskom. Somplak. \xf0\x9f\x98\x94',1,1,1,0,0,0,0,0,1
23,2998,RT USER Oh ini to cara memenangkan anies sandi kemarin pake saracen ya,1,0,1,0,0,0,0,0,1
24,9464,KPK gelar program PilkadaÂ berintegritas,0,0,0,0,0,0,0,0,0
25,7649,Xl jancuk',0,1,0,0,0,0,0,0,0
26,4715,RT USER USER HTI itu racun ini contoh orang yg keracunan HTI,1,0,0,1,1,0,0,0,0
27,3694,"USER USER Itu Pabrik lokasi nya d Belanda, ToloL kok d piara.'",1,1,1,0,0,0,0,0,1
28,12930,USER USER Orang gila aja belum tentu percaya.... Klo kelas USER langsung ditelan....cebong kan g punya otak',1,1,0,1,0,0,0,0,1
29,2592,Pak USER harusnya jadi Ulama yang Pewaris Nabi. Menegakkan kebenaran karena data dan keilmuan. Bukan semata Tsiqoh krn yg pertama AL FAHMU. Pak USER bisa belajar dari USER perihal USER,0,0,0,0,0,0,0,0,0
30,12770,"Mental ""asu kabehhhh""\nDukung pemimpin yang tak bermental kompeni \n#JatengMuktiTanpaKorupsi \nUSER \n#DirmanNaikGanjarPanik URL",1,1,1,0,0,0,0,0,1
31,4581,USER USER Sama skali ga malu yg malu tuh udh so jd OKB tpi nihil prestasi malah kena denda lagi malu bgd dasr CINA bloon ky gtu tuh ....',1,1,1,0,0,1,0,0,0
32,10795,Sisternet dan Kemendes PDTT Dorong Pemanfaatan Internet Tingkatkan Ekonomi Pedesaan,0,0,0,0,0,0,0,0,0
33,133,"Moga ini ada tindak lanjutnya!; ; Pelaporan terhadap ?penista agama? Ade Armando akan dilakukan langsung oleh Ketua Umum FPI KH. Shobri Lubis ke Bareskrim Mabes Polri, Gambir, Jakarta Pusat pada Selasa (10/4) pukul 13.00 WIB.; #Perhaps USER;",1,0,1,0,1,0,0,0,0
34,6803,"USER USER USER Harus masuk dlu, nikmati penjara. \nAnak alay, modar dah loe.'",1,1,1,0,0,0,0,0,1
35,3209,USER Amanat dari 119 ribu ulama by name dan by address. Kalau ada yg bilang Cak Imin ambisius itu ngopinya kurang jauh..ð???,0,0,0,0,0,0,0,0,0
36,8407,RT USER: Masih mau memilih Agus-Sylvi???\nAnaknya SBY dan Keluarga Koruptor\n#BlusukanAhok\n#BerjamaahCoblosPecinya\u2026,1,1,0,1,0,0,0,0,1
37,8962,"Tiap gue pake celana pendek di atas dengkul dibilang banci, pake di bawah dengkul dibilang gak gaul. Mending gak pake celana deh..'",0,1,0,0,0,0,0,0,0
38,9343,USER USER USER USER USER Karena kita jablay berkelas',0,1,0,0,0,0,0,0,0
39,5819,"USER Ia tidak memperdulikan ocehan laki-laki didepannya itu, kenapa hari ini ia bertemu laki laki ini? Padahal UI sangat luas dan dari sekian banyak mahasiswa, mengapa harus Alan?\n\n""Bodo amat gue gak denger, gue pake headset,"" ucapnya tidak perduli, lalu mengikuti langkah kaki +'",0,1,0,0,0,0,0,0,0
40,1373,"PRESIDEN DIHINA. Kapolri, Menkumham, Mendikbud, Menhan, Abu Janda, Anshor, Banser. Semua terdiam. Ajaib.'",1,0,0,1,0,0,0,0,1
41,9988,"USER Grace menguap lebar sampai kedua mata sipitnya makin sipit. ""Hoam.. iya enggak apa-apa Kak. Sekarang pulang lagi ya Kak? Aku ngantuk,""'",0,0,0,0,0,0,0,0,0
42,7663,"wah, baru tau si cantik itu pengagum tengkuzul, kacrut dah :))'",0,1,0,0,0,0,0,0,0
