,index,URL,Date,Tweet,ID,Username,Replies,Reetweets,Likes,Quotes,conversationId,Language,Links,Media,Retweeted Tweet,Bookmarks
0,6881,https://twitter.com/koesmanagalang/status/1657431076921544705,2023-05-13 17:02:16+00:00,"@myrnn_ @secgron @bankbsi_id sistem sama orangnya harus di ganti
gak ada sistem yang gak akan teretas
jadi harus cari countermeasures

seharusnya sekelas bank udah wajib punya tim cyber security yang isinya white hat hacker semua

tapi gue kurang tau sih, di indo white hat hacker itu kriminal dibilangnya 🤣",1657431076921544705,koesmanagalang,1,0,0,0,1657192354829451264,in,,,,0
1,9209,https://twitter.com/muhammad_dlya/status/1657283168054181888,2023-05-13 07:14:32+00:00,@setyodiwantoro @ZakyFarid @RochmatPurwanto @bankbsi_id @bank_indonesia gak gitu 😭,1657283168054181888,muhammad_dlya,1,0,0,0,1657217322447425538,eu,,,,0
2,13665,https://twitter.com/NuriSeptiyani/status/1656655591488761857,2023-05-11 13:40:46+00:00,"@Kebosananan @detikcom iya nasabah bank konven sprti BRI,BNI,Mandiri di lebur jadi BSI, Awal trnsformasi BRI ke Bri syariah begitupun dgn BNI, berjaln wktu di lebur lah ke BSI smua, tapi tdk di dukung dgn system yg betul2 siap, ya minimal setaralah dgn apa yg sblm nya nasabah nikmati layanan system nya",1656655591488761857,NuriSeptiyani,2,0,1,1,1656576231545131008,in,,,,0
3,17281,https://twitter.com/MasYusuf_/status/1656465393014419456,2023-05-11 01:04:59+00:00,@bankbsi_id Gimana sih Min ini kok gak bisa lagi BSI Mobile nya? Gangguan kok sampe berhari2. Udah mending fokus aja 1 sama Kampus nya.,1656465393014419456,MasYusuf_,1,0,1,0,1655807602104872960,in,,,,0
4,12216,https://twitter.com/KepoomrR/status/1656901084693278720,2023-05-12 05:56:16+00:00,"@ssstef_ @bankbsi_id BCA Sy bisa nih kayaknya, 😅",1656901084693278720,KepoomrR,0,0,0,0,1656869834557378560,in,,,,0
5,15013,https://twitter.com/asuhansetan_/status/1656559989870436352,2023-05-11 07:20:53+00:00,"@bankbsi_id normal apaan, semalem mo tarik tunai masih nga bisa!",1656559989870436352,asuhansetan_,1,0,0,0,1655807602104872960,in,,,,0
6,1248,https://twitter.com/veryyal/status/1658450292487368704,2023-05-16 12:32:16+00:00,@tarocookiess Wes bener bener dadi kampus obama malah dadi bank og BSI https://t.co/Io6PGSPWHS,1658450292487368704,veryyal,1,0,0,0,1658441515931410435,in,,https://pbs.twimg.com/media/FwP_v6WagAEAAxV?format=jpg&name=orig,,0
7,10473,https://twitter.com/gif_tech/status/1657221121513783296,2023-05-13 03:07:59+00:00,Bank jelek @bankbsi_id,1657221121513783296,gif_tech,1,0,1,0,1657221121513783296,hu,,,,0
8,16619,https://twitter.com/Ikierizki1/status/1656491472160714753,2023-05-11 02:48:37+00:00,"Mau sampe kapan klen error' @bankbsi_id. Tiap jam ku pantau gak ada perkembangan. Pake atm gak bisa,ke teller gak bisa. Emang pukimak x klen yaa.. Semua konvensional klen usir,biar bejaya sendiri klen ya bank diktator",1656491472160714753,Ikierizki1,1,0,0,0,1656491472160714753,in,,,,0
9,8932,https://twitter.com/DiazAnanda/status/1657299447003639809,2023-05-13 08:19:13+00:00,@LelaMelani10 @paijodirajo @bankbsi_id Lol ini respon paling bikin ngakak,1657299447003639809,DiazAnanda,0,0,8,0,1657184368564002817,in,,,,0
